GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
0,0.23,18,0,1,1,0,0.5,1,1,complete,0,0,1,0,0,74.5,0,40,1,1,often,0,0,1.5,1,1,complete,Other,0,5,0,1,M,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
1.19,0.83,18,1,1,0,3,1.5,1,1,complete,1,0,1,0,0,85,0,60,1,3,often,0,0,3.5,1,1,complete,English,0,4,1,0,M,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
2.77,2.89,18,1,1,0,4,3.25,1,0,graduate,1,1,1,1,1,78.3,0,71.5,0,2,occasion,0,0,1,1,0,complete,English,0,6,0,0,F,0,0,0,0,0,0,1,1,1,5,0,0,0,0
0.98,,19,0,1,1,2,0,1,0,complete,0,1,1,0,0,78.5,1,47,0,2,rarely,0,1,3.5,1,0,graduate,Other,0,4,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.23,2.6,18,0,1,1,3.5,5,1,1,complete,1,0,1,1,1,84,1,77,1,3,never,1,0,4,1,1,complete,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.85,3.57,18,0,1,1,2.5,3.5,1,1,complete,1,1,1,1,1,80.3,1,85,1,2,occasion,0,0,1,1,1,complete,English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.08,2.4,18,0,1,1,2.75,3.75,0,0,did not,1,1,0,1,1,78.3,0,60,0,2,often,0,0,0,0,0,did not,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
2.13,2.16,18,1,1,1,2.5,3,1,0,complete,1,0,1,1,1,78,1,72,1,2,usually,0,0,0.5,1,1,complete,English,0,4,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.28,2.55,18,1,1,1,2,3,1,0,graduate,1,1,1,1,1,81.3,1,,1,3,occasion,0,0,3,1,0,graduate,English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.22,2.54,18,0,1,0,2.5,5.5,1,1,complete,1,1,1,0,1,85.3,1,56,1,3,occasion,0,0,3.5,1,1,complete,English,0,6,1,0,F,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
0.82,,18,0,1,0,1.5,0,1,0,graduate,1,1,1,0,0,78,1,47,1,2,occasion,0,0,3.5,1,0,graduate,English,0,5,1,1,F,0,0,0,0,0,0,1,1,1,4.5,1,0,1,0
1.48,2.47,18,0,1,1,3,4,0,0,did not,1,1,1,0,1,80.7,1,67,1,2,rarely,0,1,1,1,0,attende,English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.15,3.74,18,0,1,1,3.5,4.5,1,1,complete,1,0,1,1,1,80.3,1,68.5,1,2,usually,0,0,3,1,0,graduate,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.08,1.88,18,1,1,1,4.5,4.5,1,0,attende,1,1,1,1,1,79.3,0,68.75,0,2,rarely,0,1,0.5,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.59,2.28,18,0,1,1,3,4.5,1,0,complete,1,1,1,1,1,83.8,1,74.5,1,3,rarely,0,1,3,1,0,complete,English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.85,2.65,18,1,1,0,1.5,3.5,1,0,attended,0,1,1,0,1,79.5,1,52,1,2,rarely,0,1,2,1,1,complete,Other,0,4,0,0,F,1,1,1,1,0,0,1,0,0,3,0,0,0,0
2,,19,1,1,0,1.5,0,1,0,graduate,1,1,1,0,0,77.7,1,71,0,2,rarely,0,1,0.5,1,0,complete,English,0,6,0,1,F,0,0,0,0,0,0,0,1,0,2,0,0,0,0
,,19,0,1,1,3,0,1,1,complete,0,0,1,,,81.2,0,62.66667,0,3,often,0,0,0,1,1,complete,Other,1,5,,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18,0,18,1,1,1,2.5,0,1,0,complete,0,1,1,0,0,78.5,0,52,0,2,often,0,0,0,0,0,did not,Other,0,6,1,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.95,2.35,18,1,1,1,3,3.5,1,1,complete,1,1,1,1,1,75.3,1,73,1,1,rarely,0,1,1,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.86,2.84,18,0,1,1,3,4.5,1,1,complete,1,1,1,1,1,82.3,1,77.5,1,3,never,1,0,0,1,1,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.09,2.3,19,1,1,1,3,4,1,0,graduate,1,1,0,1,1,86.3,0,57,1,3,often,0,0,3,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
3.28,2.62,19,1,1,1,4.5,4.5,1,1,complete,1,0,1,1,1,84.3,1,78.8,1,3,rarely,0,1,0,1,0,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
3.25,2.61,19,0,1,1,3,2.5,1,1,complete,1,0,0,1,1,80.8,1,71.5,0,3,usually,0,0,1.5,1,0,attended,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.99,1.31,18,0,1,0,2.5,3,1,1,complete,1,0,0,0,0,72.8,1,55,0,1,usually,0,0,0,1,1,complete,English,0,5,1,0,M,0,0,1,0,1,0,0,0,0,4,0,0,0,0
1.16,1.5,20,0,1,1,1.5,3,1,1,complete,0,1,1,0,1,82.3,0,63,1,3,often,0,0,1.5,1,0,graduate,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
0.8,1.2,19,0,1,1,2,2.5,1,0,complete,0,1,1,0,0,76.5,1,60,1,2,occasion,0,0,3,1,0,complete,Other,0,5,1,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.51,2.55,18,0,1,1,2.5,4.5,1,1,complete,0,1,1,1,1,83.2,1,80,1,3,occasion,0,0,0,1,0,graduate,Other,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.85,2,18,0,1,1,1.5,2,1,0,complete,1,1,0,0,0,74,1,51,0,1,occasion,0,0,1,1,0,attended,English,0,4,0,1,F,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2.43,1.75,18,0,1,0,3,4.5,1,1,complete,1,0,1,1,1,85.8,1,80.5,0,3,rarely,0,1,0,1,1,complete,English,0,5,0,0,M,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
1.84,0.35,18,0,1,1,1,2,1,0,attended,0,1,1,0,0,81.5,1,42,1,3,often,0,0,2.5,1,0,attended,Other,0,6,0,1,F,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1.05,1.02,19,0,1,0,2,2,1,1,complete,1,0,1,0,0,75,1,66,1,1,occasion,0,0,0,0,0,don t kn,English,0,4,0,1,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
1.68,2.11,18,0,1,1,3.5,4,1,1,complete,0,1,1,1,1,80.3,1,59.33333,1,2,rarely,0,1,1,0,0,don t kn,Other,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
2.45,3.22,18,1,1,0,2.5,5.5,1,0,attende,1,0,0,0,1,75,0,63,0,1,often,0,0,3,0,0,did not,English,0,6,0,0,M,1,1,1,1,0,0,1,0,0,3,0,0,0,0
0.64,2.4,19,0,1,1,2,2.25,1,0,graduate,1,0,1,0,0,72,0,50,1,1,often,0,0,0,1,0,graduate,English,0,6,1,1,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
2.96,2.68,19,1,1,0,3,3.5,1,0,graduate,1,1,0,0,1,78.7,1,72.5,1,2,occasion,0,0,1,1,0,graduate,English,0,4,0,0,F,1,0,1,0,0,0,0,0,0,3.5,0,0,0,0
2.66,3.38,18,1,1,1,3,3,1,0,attended,1,0,0,1,1,80.8,0,65,0,3,never,1,0,0,0,0,did not,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
1.68,0.82,19,0,1,0,2,2.5,1,0,graduate,1,1,1,1,0,75.3,1,58,1,1,occasion,0,0,2,1,0,graduate,English,0,6,0,1,F,0,0,0,0,0,0,0,1,0,4,0,0,0,0
1.89,1.69,18,0,1,0,3,4.5,1,1,complete,1,1,1,1,1,80,1,66,0,2,occasion,0,0,0,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,1,0,5,0,0,0,0
3.25,2.46,18,1,1,0,2.5,4.5,0,0,don t kn,1,1,1,1,1,83,0,71,1,3,occasion,0,0,3,1,0,complete,English,0,4,0,0,F,1,1,1,1,0,0,1,0,0,4,0,0,0,0
1.93,2.54,18,1,1,0,3.5,5,1,1,complete,1,1,1,1,1,76.2,1,67,1,1,rarely,0,1,4,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,1,1,1,5,1,0,1,0
0.47,0,19,0,1,1,1,0,1,1,complete,0,0,1,0,0,77.7,1,57,1,2,usually,0,0,2.5,1,0,graduate,Other,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
